week,energy_per_day,day_count,energy_per_day_std,energy_uncert_hi,energy_uncert_lo
2019-01-01/2019-01-07,501.14512009005165,7,233.1539893979715,734.2991094880231,267.99113069208016
2019-01-08/2019-01-14,795.1599311345693,7,477.47534969887573,1272.635280833445,317.6845814356936
2019-01-15/2019-01-21,513.0480577531812,7,349.3725469577426,862.4206047109237,163.67551079543858
2019-01-22/2019-01-28,810.8848174072997,7,548.0853664001954,1358.9701838074952,262.79945100710427
2019-01-29/2019-02-04,1055.4752734492474,7,425.36258506130395,1480.8378585105513,630.1126883879435
2019-02-05/2019-02-11,772.1925966277148,7,488.2833858712211,1260.475982498936,283.9092107564937
2019-02-12/2019-02-18,809.759164004382,7,565.7627625630624,1375.5219265674446,243.99640144131956
2019-02-19/2019-02-25,785.502149790209,7,547.0132004948729,1332.515350285082,238.48894929533617
2019-02-26/2019-03-04,986.2040112872683,7,462.27257081958817,1448.4765821068563,523.9314404676801
2019-03-05/2019-03-11,1324.9145435828843,7,439.31583639472365,1764.230379977608,885.5987071881607
2019-03-12/2019-03-18,1083.6019534027887,7,248.81803130345642,1332.419984706245,834.7839220993322
2019-03-19/2019-03-25,881.2641067172902,7,531.409599646728,1412.6737063640182,349.85450707056225
2019-03-26/2019-04-01,1058.0774256711104,7,621.7981730767717,1679.8755987478821,436.2792525943387
2019-04-02/2019-04-08,1083.003621536183,7,443.0476278598866,1526.0512493960696,639.9559936762963
2019-04-09/2019-04-15,756.9497874636007,7,352.9228058281136,1109.8725932917143,404.0269816354871
2019-04-16/2019-04-22,765.4050820737982,7,478.82589767398434,1244.2309797477826,286.57918439981387
2019-04-23/2019-04-29,954.0528827894376,7,461.493805719376,1415.5466885088135,492.5590770700616
2019-04-30/2019-05-06,587.6484547883532,7,416.9032330630196,1004.5516878513729,170.74522172533358
2019-05-07/2019-05-13,737.357495224589,7,537.4189876358761,1274.776482860465,199.93850758871292
2019-05-14/2019-05-20,1015.4810531783222,7,436.3741240857287,1451.8551772640508,579.1069290925935
2019-05-21/2019-05-27,1222.3730579835108,7,208.68250337687778,1431.0555613603885,1013.690554606633
2019-05-28/2019-06-03,872.4378111354534,7,404.44239438134224,1276.8802055167957,467.9954167541112
2019-06-04/2019-06-10,1004.6135979564675,7,393.944956074669,1398.5585540311365,610.6686418817985
2019-06-11/2019-06-17,888.305288000176,7,351.417050514967,1239.722338515143,536.888237485209
2019-06-18/2019-06-24,751.9580755281557,7,438.0430022535252,1190.001077781681,313.9150732746306
2019-06-25/2019-07-01,1099.1882992343305,7,246.8147608961959,1346.0030601305264,852.3735383381346
2019-07-02/2019-07-08,946.9760545293583,7,215.40546862053654,1162.3815231498947,731.5705859088217
2019-07-09/2019-07-15,1109.7784827564421,7,212.18356666555903,1321.9620494220012,897.5949160908831
2019-07-16/2019-07-22,982.9065860290937,7,324.48456308642193,1307.3911491155156,658.4220229426717
2019-07-23/2019-07-29,1064.2910848152183,7,347.65407596147656,1411.9451607766948,716.6370088537417
2019-07-30/2019-08-05,1023.3947288517849,7,219.15082265654334,1242.5455515083281,804.2439061952415
2019-08-06/2019-08-12,1044.0637904661503,7,314.7644646410246,1358.8282551071748,729.2993258251257
2019-08-13/2019-08-19,828.2640860584846,7,309.9515779195545,1138.2156639780392,518.3125081389301
2019-08-20/2019-08-26,1076.9563589596548,7,358.0031819064664,1434.9595408661212,718.9531770531885
2019-08-27/2019-09-02,902.2910487389225,7,423.2964368806756,1325.5874856195983,478.9946118582469
2019-09-03/2019-09-09,868.4557603132434,7,360.43613570322043,1228.8918960164638,508.019624610023
2019-09-10/2019-09-16,693.4720565608649,7,408.7110147923846,1102.1830713532495,284.76104176848025
2019-09-17/2019-09-23,1236.3376792249778,7,187.1310734606044,1423.4687526855823,1049.2066057643733
2019-09-24/2019-09-30,1070.8383162739867,7,263.1029350634604,1333.941251337447,807.7353812105264
2019-10-01/2019-10-07,795.5732875538106,7,544.6250993282188,1340.1983868820294,250.94818822559182
2019-10-08/2019-10-14,689.832627462244,7,439.1531762684195,1128.9858037306635,250.6794511938245
2019-10-15/2019-10-21,854.6393448114977,7,632.3135109337549,1486.9528557452527,222.32583387774287
2019-10-22/2019-10-28,705.5147087786111,7,523.3134475340695,1228.8281563126807,182.20126124454157
2019-10-29/2019-11-04,774.8912799228603,7,572.9945885745663,1347.8858684974266,201.8966913482941
2019-11-05/2019-11-11,742.9880636828493,7,530.4824718691538,1273.4705355520032,212.50559181369556
2019-11-12/2019-11-18,769.7212496917438,7,603.492813250203,1373.2140629419468,166.2284364415408
2019-11-19/2019-11-25,582.9818165153057,7,469.92768206014347,1052.909498575449,113.05413445516223
2019-11-26/2019-12-02,611.4666502513783,7,568.0150051826605,1179.4816554340387,43.45164506871777
2019-12-03/2019-12-09,675.0806550634808,7,449.25659687080054,1124.3372519342813,225.82405819268024
2019-12-10/2019-12-16,379.01377021279666,7,357.7273755824889,736.7411457952855,21.28639463030777
2019-12-17/2019-12-23,886.7780829352054,7,494.1210469573663,1380.8991298925716,392.6570359778391
2019-12-24/2019-12-30,468.26184139366757,7,409.25415393705845,877.515995330726,59.00768745660912
